Date,Time,Numero di insetti,Nuove catture (per evento),Recensito,Evento
06/07/2024,6:01:00,0,0,Si,
07/07/2024,6:04:00,0,0,Si,
08/07/2024,6:03:00,0,0,Si,
09/07/2024,6:05:00,0,0,Si,
09/07/2024,6:13:59,,,Si,Cleaning
10/07/2024,6:03:00,0,0,Si,
11/07/2024,6:01:00,0,0,Si,
12/07/2024,6:05:00,0,0,Si,
13/07/2024,6:02:00,0,0,Si,
14/07/2024,6:01:00,1,1,Si,
15/07/2024,6:04:00,1,0,Si,
16/07/2024,6:03:00,2,1,Si,
16/07/2024,6:12:59,,,Si,Cleaning
17/07/2024,6:02:00,1,1,Si,
18/07/2024,6:01:00,1,0,Si,
19/07/2024,6:04:00,1,0,Si,
20/07/2024,6:02:00,1,0,Si,
20/07/2024,6:11:59,,,Si,Cleaning
21/07/2024,6:02:00,1,1,Si,
22/07/2024,6:00:00,2,1,Si,
23/07/2024,6:04:00,0,0,Si,
24/07/2024,6:02:00,0,0,Si,
25/07/2024,6:01:00,1,1,Si,
26/07/2024,6:01:00,1,0,Si,
27/07/2024,6:05:00,1,0,Si,
28/07/2024,6:03:00,3,2,Si,
28/07/2024,6:12:59,,,Si,Cleaning
29/07/2024,6:04:00,0,0,Si,
30/07/2024,6:02:00,0,0,Si,
31/07/2024,6:00:00,0,0,Si,
01/08/2024,6:04:00,0,0,Si,
02/08/2024,6:03:00,0,0,Si,
02/08/2024,6:12:59,,,Si,Cleaning
03/08/2024,6:03:00,0,0,Si,
03/08/2024,6:13:59,,,Si,Cleaning
04/08/2024,6:04:00,0,0,Si,
05/08/2024,6:01:00,0,0,Si,
06/08/2024,6:00:00,1,1,Si,
07/08/2024,6:04:00,1,0,Si,
08/08/2024,6:03:00,1,0,Si,
09/08/2024,6:01:00,1,0,Si,
09/08/2024,6:10:59,,,Si,Cleaning
10/08/2024,6:00:00,0,0,Si,
11/08/2024,6:04:00,0,0,Si,
12/08/2024,6:03:00,0,0,Si,
13/08/2024,6:03:00,0,0,Si,
14/08/2024,6:01:00,0,0,Si,
15/08/2024,6:00:00,0,0,Si,
15/08/2024,6:10:59,,,Si,Cleaning
16/08/2024,6:00:00,0,0,Si,
17/08/2024,6:04:00,0,0,Si,
18/08/2024,6:03:00,0,0,Si,
19/08/2024,6:02:00,0,0,Si,
20/08/2024,6:00:00,0,0,Si,
21/08/2024,6:03:00,0,0,Si,
21/08/2024,6:12:59,,,Si,Cleaning
22/08/2024,6:04:00,0,0,Si,
23/08/2024,6:03:00,0,0,Si,
05/07/2024,11:31:01,0,0,Si,
06/07/2024,3:02:01,0,0,Si,
07/07/2024,3:04:01,0,0,Si,
08/07/2024,3:01:01,0,0,Si,
08/07/2024,3:10:00,,,Si,Cleaning
09/07/2024,3:00:01,0,0,Si,
09/07/2024,3:09:00,,,Si,Cleaning
11/07/2024,1:35:59,,,Si,Cleaning
11/07/2024,3:00:00,0,0,Si,
12/07/2024,3:03:00,0,0,Si,
13/07/2024,3:03:00,0,0,Si,
14/07/2024,3:01:00,0,0,Si,
15/07/2024,3:05:00,0,0,Si,
16/07/2024,3:04:00,0,0,Si,
17/07/2024,3:03:00,0,0,Si,
18/07/2024,3:02:00,0,0,Si,
18/07/2024,3:12:59,,,Si,Cleaning
19/07/2024,3:04:00,1,1,Si,
20/07/2024,3:03:00,2,1,Si,
21/07/2024,3:02:00,2,0,Si,
22/07/2024,3:00:00,2,0,Si,
23/07/2024,3:01:00,2,0,Si,
23/07/2024,3:10:59,,,Si,Cleaning
24/07/2024,3:02:00,1,1,Si,
24/07/2024,3:12:59,,,Si,Cleaning
25/07/2024,3:03:00,1,1,Si,
26/07/2024,3:02:00,1,0,Si,
27/07/2024,3:01:00,1,0,Si,
28/07/2024,3:00:00,0,0,Si,
28/07/2024,3:09:59,,,Si,Cleaning
29/07/2024,3:00:00,0,0,Si,
30/07/2024,3:04:00,0,0,Si,
31/07/2024,3:03:00,0,0,Si,
01/08/2024,3:01:00,0,0,Si,
02/08/2024,3:00:00,0,0,Si,
03/08/2024,3:00:00,0,0,Si,
03/08/2024,3:09:59,,,Si,Cleaning
04/08/2024,3:01:00,0,0,Si,
05/08/2024,3:00:00,0,0,Si,
06/08/2024,3:04:00,0,0,Si,
07/08/2024,3:02:00,0,0,Si,
08/08/2024,3:01:00,0,0,Si,
09/08/2024,3:04:00,0,0,Si,
09/08/2024,3:13:59,,,Si,Cleaning
10/08/2024,3:00:00,0,0,Si,
11/08/2024,3:04:00,0,0,Si,
12/08/2024,3:03:00,0,0,Si,
13/08/2024,3:01:00,0,0,Si,
14/08/2024,3:00:00,0,0,Si,
15/08/2024,3:04:00,0,0,Si,
16/08/2024,3:03:00,0,0,Si,
17/08/2024,3:02:00,0,0,Si,
18/08/2024,3:01:00,0,0,Si,
18/08/2024,3:10:59,,,Si,Cleaning
19/08/2024,3:01:00,0,0,Si,
20/08/2024,3:00:00,0,0,Si,
21/08/2024,3:04:00,0,0,Si,
22/08/2024,3:03:00,0,0,Si,
23/08/2024,3:03:00,1,1,Si,
30/07/2024,22:01:00,0,0,Si,
31/07/2024,22:03:00,0,0,Si,
01/08/2024,22:01:00,0,0,Si,
02/08/2024,22:03:00,0,0,Si,
03/08/2024,22:04:00,0,0,Si,
04/08/2024,22:00:00,0,0,Si,
06/08/2024,0:02:00,0,0,Si,
07/08/2024,0:03:00,0,0,Si,
07/08/2024,0:16:59,,,Si,Cleaning
08/08/2024,0:03:00,0,0,Si,
09/08/2024,0:00:00,0,0,Si,
10/08/2024,0:01:00,0,0,Si,
11/08/2024,0:03:00,0,0,Si,
12/08/2024,0:04:00,0,0,Si,
12/08/2024,0:17:59,,,Si,Cleaning
13/08/2024,0:04:00,0,0,Si,
14/08/2024,0:00:00,0,0,Si,
15/08/2024,0:02:00,0,0,Si,
16/08/2024,0:03:00,0,0,Si,
17/08/2024,0:00:00,1,1,Si,
18/08/2024,0:01:00,1,0,Si,
18/08/2024,0:11:59,,,Si,Cleaning
19/08/2024,0:03:00,0,0,Si,
20/08/2024,0:05:00,4,4,Si,
21/08/2024,0:01:00,2,0,Si,
22/08/2024,0:03:00,4,2,Si,
23/08/2024,0:04:00,5,1,Si,
31/07/2024,0:00:00,0,0,Si,
01/08/2024,0:01:00,0,0,Si,
02/08/2024,0:03:00,0,0,Si,
03/08/2024,0:00:00,0,0,Si,
03/08/2024,0:12:59,,,Si,Cleaning
04/08/2024,0:04:00,0,0,Si,
05/08/2024,0:00:00,0,0,Si,
06/08/2024,0:01:00,0,0,Si,
07/08/2024,0:03:00,0,0,Si,
08/08/2024,0:04:00,0,0,Si,
09/08/2024,0:04:00,0,0,Si,
10/08/2024,0:01:00,0,0,Si,
11/08/2024,0:02:00,0,0,Si,
11/08/2024,0:13:59,,,Si,Cleaning
12/08/2024,0:00:00,0,0,Si,
13/08/2024,0:01:00,0,0,Si,
14/08/2024,0:03:00,0,0,Si,
15/08/2024,0:04:00,0,0,Si,
16/08/2024,0:02:00,0,0,Si,
17/08/2024,0:03:00,0,0,Si,
18/08/2024,0:00:00,1,1,Si,
18/08/2024,0:10:59,,,Si,Cleaning
19/08/2024,0:02:00,0,0,Si,
20/08/2024,0:03:00,0,0,Si,
21/08/2024,0:05:00,0,0,Si,
22/08/2024,0:01:00,0,0,Si,
23/08/2024,0:03:00,0,0,Si,
17/08/2024,0:02:00,0,0,Si,
18/08/2024,0:04:00,0,0,Si,
19/08/2024,0:00:00,0,0,Si,
20/08/2024,0:02:00,1,1,Si,
21/08/2024,0:04:00,1,0,Si,
22/08/2024,0:00:00,2,1,Si,
23/08/2024,0:02:00,3,1,Si,
